config_hash,holdout_season,position,stat,use_weather,use_opponent_epa,use_rest_days,use_home_away,dist_family,k,l1_alpha,n_train,n_holdout,log_loss,brier,mae,rmse,bias,aic,max_reliability_dev,fit_seconds,convergence_flag
b72ce6c73aa60654,2024,wr_te,receiving_tds,False,False,False,False,legacy,16,0.0,25941,2055,0.4843516847237303,0.1550672372196536,0.36524889954260165,0.49793151267474384,-0.029812349323299944,22865.48877837843,0.09744683265256895,7.0398,ok
a271332f2ca0b329,2024,qb,passing_yards,True,False,False,False,decomposed,2,0.001,4622,663,0.7633212782189023,0.26439097005490253,75.38879090004107,94.82993536295842,17.532776952494174,53625.29798168818,0.3839286111370275,1037.7874,ok
a271332f2ca0b329,2024,qb,passing_tds,True,False,False,False,decomposed,2,0.001,4622,616,0.6584036822708996,0.2343321395609107,0.9342853879001946,1.1413585163103783,0.033140038069520185,10860.256742596568,0.1801275642566263,1037.7874,ok
a271332f2ca0b329,2024,qb,interceptions,True,False,False,False,decomposed,2,0.001,4622,553,0.5976754980176957,0.20692960883847542,0.7093122455790024,0.833829726096743,0.04636910236897379,8502.984593702353,0.10313860366346611,1037.7874,ok
a271332f2ca0b329,2024,qb,completions,True,False,False,False,decomposed,2,0.001,4622,663,0.7409885296759144,0.2563484022685442,6.199246308484133,7.953902761602558,1.3672654746516908,28690.374692317226,0.39565317957435503,1037.7874,ok
ae9bf114e9109dcb,2024,qb,passing_yards,True,False,False,False,decomposed,4,0.001,4622,663,0.7661713221022661,0.26506111183469133,75.4740390987937,95.52994417506946,17.241165213443143,53625.29798168818,0.44672769774474236,1037.7874,ok
ae9bf114e9109dcb,2024,qb,passing_tds,True,False,False,False,decomposed,4,0.001,4622,616,0.6598119828372391,0.23508445580341353,0.9368934084393263,1.143188018327987,0.026450540338519544,10860.256742596568,0.21911201968721566,1037.7874,ok
ae9bf114e9109dcb,2024,qb,interceptions,True,False,False,False,decomposed,4,0.001,4622,553,0.5983712600681295,0.20726116473220477,0.7104244617911027,0.8337019642537107,0.04555219377497898,8502.984593702353,0.08971489871228472,1037.7874,ok
ae9bf114e9109dcb,2024,qb,completions,True,False,False,False,decomposed,4,0.001,4622,663,0.7443489642817115,0.256889485571728,6.233243018665495,8.050674396898653,1.3446529296039043,28690.374692317226,0.4533272158936799,1037.7874,ok
90525a487917e73d,2024,qb,passing_yards,True,False,False,False,decomposed,6,0.001,4622,663,0.7685269218651632,0.265685024353545,75.70857112997928,96.22760373065405,16.868028008288857,53625.29798168818,0.43780773372751114,1037.7874,ok
90525a487917e73d,2024,qb,passing_tds,True,False,False,False,decomposed,6,0.001,4622,616,0.6609609957145399,0.23564342433565497,0.9395590226020327,1.1454876097742615,0.021020789761809208,10860.256742596568,0.2100978370879611,1037.7874,ok
90525a487917e73d,2024,qb,interceptions,True,False,False,False,decomposed,6,0.001,4622,553,0.5987756439646489,0.2074555325369783,0.710906506993764,0.8336835038457177,0.04474374121662529,8502.984593702353,0.6011593412513447,1037.7874,ok
90525a487917e73d,2024,qb,completions,True,False,False,False,decomposed,6,0.001,4622,663,0.7463900093595914,0.25728343750258076,6.278141100516974,8.13226769892385,1.315094954042256,28690.374692317226,0.47945682249146054,1037.7874,ok
2bc5d261de44d7d2,2024,qb,passing_yards,True,False,False,False,decomposed,8,0.001,4622,663,0.7701694966425382,0.26623732148778334,75.98472115456087,96.81575622236058,16.51196098767583,53625.29798168818,0.4706981204138866,1037.7874,ok
2bc5d261de44d7d2,2024,qb,passing_tds,True,False,False,False,decomposed,8,0.001,4622,616,0.6618940531191098,0.23607656142982383,0.9418419796309696,1.1476509558518428,0.016563286050071895,10860.256742596568,0.4044771535184429,1037.7874,ok
2bc5d261de44d7d2,2024,qb,interceptions,True,False,False,False,decomposed,8,0.001,4622,553,0.5990404062273371,0.2075824653568802,0.7111509824343313,0.8336881358770839,0.044030884970836764,8502.984593702353,0.26980356341742406,1037.7874,ok
2bc5d261de44d7d2,2024,qb,completions,True,False,False,False,decomposed,8,0.001,4622,663,0.7478356616773648,0.2576131568621739,6.314403924803152,8.197202647626877,1.286837874431899,28690.374692317226,0.4743656930338566,1037.7874,ok
42402cc7b2250008,2024,qb,passing_yards,True,False,False,False,decomposed,12,0.001,4622,663,0.7724453855749253,0.2669501601001514,76.45464033825009,97.71419177271015,15.911466446414673,53625.29798168818,0.4440481204138867,1037.7874,ok
42402cc7b2250008,2024,qb,passing_tds,True,False,False,False,decomposed,12,0.001,4622,616,0.6633161098017915,0.2367086763942877,0.9457649215704906,1.1512933431400352,0.009715764021224208,10860.256742596568,0.5191344670326193,1037.7874,ok
42402cc7b2250008,2024,qb,interceptions,True,False,False,False,decomposed,12,0.001,4622,553,0.5993632486114425,0.20773620532483036,0.7113616857864933,0.8337089860280616,0.04288834942239982,8502.984593702353,0.2885136674118457,1037.7874,ok
42402cc7b2250008,2024,qb,completions,True,False,False,False,decomposed,12,0.001,4622,663,0.7498304485449606,0.258146856994069,6.3671148943285445,8.292404033528731,1.2391984800053184,28690.374692317226,0.4022023825978911,1037.7874,ok
e1dfe8e576278206,2024,qb,passing_yards,True,False,False,False,decomposed,16,0.001,4622,663,0.774258619363555,0.2675866337049779,76.86864694902083,98.35897850438448,15.446299889578322,53625.29798168818,0.41850987945477836,1037.7874,ok
e1dfe8e576278206,2024,qb,passing_tds,True,False,False,False,decomposed,16,0.001,4622,616,0.6643542552792507,0.23715177308842708,0.9485387613732127,1.154139256012391,0.004717495645172447,10860.256742596568,0.5059081264803051,1037.7874,ok
e1dfe8e576278206,2024,qb,interceptions,True,False,False,False,decomposed,16,0.001,4622,553,0.5995500077988611,0.2078243351809365,0.711430184339791,0.8337281184033076,0.04203388849318462,8502.984593702353,0.5133654533821059,1037.7874,ok
e1dfe8e576278206,2024,qb,completions,True,False,False,False,decomposed,16,0.001,4622,663,0.7511897121741233,0.25856128450223825,6.4083187128156185,8.358601003319624,1.2023259312726435,28690.374692317226,0.4070878621617653,1037.7874,ok
7ad2e579f35f54fb,2024,qb,passing_yards,False,False,False,False,legacy,2,0.1,4622,663,0.8369994072231943,0.27354788694447496,75.75588313674305,95.39243254299777,13.863074035663962,55061.75302189392,0.5376872275775121,168.3034,ok
7ad2e579f35f54fb,2024,qb,passing_tds,False,False,False,False,legacy,2,0.1,4622,616,0.6588386284009395,0.2346274578560899,0.9330865795507065,1.1389581980620906,0.03519303370402483,8869.903867419991,0.2332219029401622,168.3034,ok
7ad2e579f35f54fb,2024,qb,interceptions,False,False,False,False,legacy,2,0.1,4622,553,0.6021216108105587,0.20883222406552393,0.7137698093071555,0.8364512343720599,0.0639514247707453,557.0676093898082,0.6408972246245848,168.3034,ok
7ad2e579f35f54fb,2024,qb,completions,False,False,False,False,legacy,2,0.1,4622,663,0.7806181181632972,0.2608361779924166,6.19794621499547,8.021425298519489,1.2336149271847239,33199.24563334345,0.45824243053672686,168.3034,ok
08b44dd593bec7f7,2024,qb,passing_yards,False,False,False,False,legacy,4,0.1,4622,663,0.8726512185932249,0.2750867614119755,76.3876133177269,96.46995880307527,14.477976537484244,55061.75302189392,0.5543168539185774,168.3034,ok
08b44dd593bec7f7,2024,qb,passing_tds,False,False,False,False,legacy,4,0.1,4622,616,0.6610952474425336,0.23571302120190618,0.9355241362264515,1.1415235789473368,0.027732723636999822,8869.903867419991,0.2122392081628458,168.3034,ok
08b44dd593bec7f7,2024,qb,interceptions,False,False,False,False,legacy,4,0.1,4622,553,0.6017243978350791,0.20865984434058832,0.7140003982926485,0.8358898247831197,0.05998343722623452,557.0676093898082,0.6200549094783212,168.3034,ok
08b44dd593bec7f7,2024,qb,completions,False,False,False,False,legacy,4,0.1,4622,663,0.8121337757293225,0.26353133262056033,6.253534206284075,8.125288622090949,1.2544713581326787,33199.24563334345,0.4827481197104035,168.3034,ok
1120801150b71f66,2024,qb,passing_yards,False,False,False,False,legacy,6,0.1,4622,663,0.8948031367240843,0.2760371645949514,76.8093240348786,97.22087869893294,14.622662452127965,55061.75302189392,0.6026704367504666,168.3034,ok
