player_id,season,week,stat,line,actual_value,book,selected_side,selected_odds,selected_book_implied_prob,selected_fair_american,selected_raw_prob,selected_prob,selected_edge,result,stake_units,profit_units,game_id,recent_team,opponent_team
00-0034844,2024,1,carries,15.5,24.0,synthetic,under,-110,0.5238095238095238,-6307.0,0.9843909216141256,0.9843909216141256,0.4605813978046017,loss,1.0,-1.0,2024_01_PHI_GB,PHI,GB
00-0035250,2024,1,carries,15.5,10.0,synthetic,under,-110,0.5238095238095238,-6307.0,0.9843909216141256,0.9843909216141256,0.4605813978046017,win,1.0,0.9090909090909091,2024_01_NYG_MIN,NYG,MIN
00-0035261,2024,1,carries,15.5,16.0,synthetic,under,-110,0.5238095238095238,-6307.0,0.9843909216141256,0.9843909216141256,0.4605813978046017,loss,1.0,-1.0,2024_01_TEN_CHI,TEN,CHI
00-0036275,2024,1,carries,15.5,10.0,synthetic,under,-110,0.5238095238095238,-6307.0,0.9843909216141256,0.9843909216141256,0.4605813978046017,win,1.0,0.9090909090909091,2024_01_CHI_TEN,CHI,TEN
00-0038134,2024,1,carries,15.5,20.0,synthetic,under,-110,0.5238095238095238,-6307.0,0.9843909216141256,0.9843909216141256,0.4605813978046017,loss,1.0,-1.0,2024_01_SEA_DEN,SEA,DEN
00-0036358,2024,1,receiving_yards,138.5,61.0,synthetic,under,-110,0.5238095238095238,-5341.0,0.9816196856928965,0.9816196856928965,0.45781016188337265,win,1.0,0.9090909090909091,2024_01_DAL_CLE,DAL,CLE
00-0031381,2024,1,receiving_tds,1.5,0.0,synthetic,under,-110,0.5238095238095238,-4499.0,0.9782565014734309,0.9782565014734309,0.45444697766390707,win,1.0,0.9090909090909091,2024_01_LV_LAC,LV,LAC
00-0036358,2024,1,receiving_tds,1.5,0.0,synthetic,under,-110,0.5238095238095238,-4499.0,0.9782565014734309,0.9782565014734309,0.45444697766390707,win,1.0,0.9090909090909091,2024_01_DAL_CLE,DAL,CLE
00-0037838,2024,1,receiving_tds,1.5,1.0,synthetic,under,-110,0.5238095238095238,-4499.0,0.9782565014734309,0.9782565014734309,0.45444697766390707,win,1.0,0.9090909090909091,2024_01_BAL_KC,BAL,KC
00-0038393,2024,1,receiving_tds,1.5,0.0,synthetic,under,-110,0.5238095238095238,-4499.0,0.9782565014734309,0.9782565014734309,0.45444697766390707,win,1.0,0.9090909090909091,2024_01_GB_PHI,GB,PHI
00-0038977,2024,1,receiving_tds,1.5,0.0,synthetic,under,-110,0.5238095238095238,-4499.0,0.9782565014734309,0.9782565014734309,0.45444697766390707,win,1.0,0.9090909090909091,2024_01_HOU_IND,HOU,IND
00-0031544,2024,1,receiving_yards,127.5,16.0,synthetic,under,-110,0.5238095238095238,-3850.0,0.9746819745414143,0.9746819745414143,0.4508724507318904,win,1.0,0.9090909090909091,2024_01_CLE_DAL,CLE,DAL
00-0039075,2024,1,receiving_yards,126.5,35.0,synthetic,under,-110,0.5238095238095238,-3736.0,0.9739342442054938,0.9739342442054938,0.45012472039596996,win,1.0,0.9090909090909091,2024_01_LA_DET,LA,DET
00-0033077,2024,1,carries,3.5,1.0,synthetic,over,-110,0.5238095238095238,-3521.0,0.972383406582608,0.972383406582608,0.4485738827730842,loss,1.0,-1.0,2024_01_DAL_CLE,DAL,CLE
00-0033526,2024,1,carries,3.5,0.0,synthetic,over,-110,0.5238095238095238,-3521.0,0.972383406582608,0.972383406582608,0.4485738827730842,loss,1.0,-1.0,2024_01_KC_BAL,KC,BAL
00-0033537,2024,1,carries,3.5,5.0,synthetic,over,-110,0.5238095238095238,-3521.0,0.972383406582608,0.972383406582608,0.4485738827730842,win,1.0,0.9090909090909091,2024_01_CLE_DAL,CLE,DAL
00-0034869,2024,1,carries,3.5,3.0,synthetic,over,-110,0.5238095238095238,-3521.0,0.972383406582608,0.972383406582608,0.4485738827730842,loss,1.0,-1.0,2024_01_MIN_NYG,MIN,NYG
00-0035243,2024,1,carries,3.5,5.0,synthetic,over,-110,0.5238095238095238,-3521.0,0.972383406582608,0.972383406582608,0.4485738827730842,win,1.0,0.9090909090909091,2024_01_CAR_NO,CAR,NO
00-0036971,2024,1,carries,3.5,1.0,synthetic,over,-110,0.5238095238095238,-3521.0,0.972383406582608,0.972383406582608,0.4485738827730842,loss,1.0,-1.0,2024_01_JAX_MIA,JAX,MIA
00-0037525,2024,1,carries,3.5,28.0,synthetic,over,-110,0.5238095238095238,-3521.0,0.972383406582608,0.972383406582608,0.4485738827730842,win,1.0,0.9090909090909091,2024_01_SF_NYJ,SF,NYJ
00-0037834,2024,1,carries,3.5,1.0,synthetic,over,-110,0.5238095238095238,-3521.0,0.972383406582608,0.972383406582608,0.4485738827730842,loss,1.0,-1.0,2024_01_SF_NYJ,SF,NYJ
00-0038555,2024,1,carries,3.5,12.0,synthetic,over,-110,0.5238095238095238,-3521.0,0.972383406582608,0.972383406582608,0.4485738827730842,win,1.0,0.9090909090909091,2024_01_JAX_MIA,JAX,MIA
00-0038622,2024,1,carries,3.5,1.0,synthetic,over,-110,0.5238095238095238,-3521.0,0.972383406582608,0.972383406582608,0.4485738827730842,loss,1.0,-1.0,2024_01_DAL_CLE,DAL,CLE
00-0039165,2024,1,carries,3.5,8.0,synthetic,over,-110,0.5238095238095238,-3521.0,0.972383406582608,0.972383406582608,0.4485738827730842,win,1.0,0.9090909090909091,2024_01_SEA_DEN,SEA,DEN
00-0031381,2024,1,receptions,6.5,5.0,synthetic,under,-110,0.5238095238095238,-3503.0,0.9722421215002842,0.9722421215002842,0.4484325976907604,win,1.0,0.9090909090909091,2024_01_LV_LAC,LV,LAC
