model,stat,rule,scale,mae,nmae,nbias,slope,corr,nbias_topform
qb,interceptions,B:coldstart,0.5838150289017341,0.6522838768564685,1.1172783237244461,0.0628424085177202,0.8000189602050667,0.15668808593964442,0.11214532894891045
qb,interceptions,B2:coldstart_wide,0.5838150289017341,0.654175434381432,1.1205183182969083,0.0949012872021039,1.0337176001791966,0.18427108576319204,0.10741142538374342
qb,interceptions,D:blend a=0.75,0.5838150289017341,0.6569905190178613,1.1253401959414853,0.11034701306791876,0.8816837237337009,0.16810122604705482,0.20182179799688424
qb,passing_tds,current(prod),1.2239884393063585,0.9491231160345452,0.7754347063706083,0.07128763877550913,1.3774019848076653,0.2937980970322186,-0.0074127725242207
qb,passing_tds,raw_glm,1.2239884393063585,0.8971886698872271,0.7330042025524924,0.017263585333457288,0.9650597337984356,0.36861064584560954,0.07670387569592277
qb,passing_tds,A:shrink->trail,1.2239884393063585,0.9359945396873854,0.7647086439948886,0.0682859761593551,0.7982303147764507,0.30347888504333004,0.1909786958853929
qb,passing_tds,B:coldstart,1.2239884393063585,0.9100854060871415,0.7435408512541934,0.028945334632081345,0.8844935350419422,0.3461866644629666,0.1475551621137521
qb,passing_tds,B2:coldstart_wide,1.2239884393063585,0.9067601717337269,0.7408241308615572,0.0343034646792265,0.9209392950178323,0.35562910496723016,0.1475551621137521
qb,passing_tds,D:blend a=0.75,1.2239884393063585,0.9116246006070504,0.7447983749941899,0.044675075922960335,0.8896771704922287,0.34705758102121875,0.18298080532266664
qb,passing_yards,current(prod),185.52890173410404,77.53919731244345,0.41793594737908235,0.12809665450492397,1.28484508433674,0.3969280187647942,0.019732855057936913
qb,passing_yards,raw_glm,185.52890173410404,72.18097142209673,0.3890551323671657,0.07687941679502454,0.812667786681893,0.503589710110736,0.09451761041258966
qb,passing_yards,A:shrink->trail,185.52890173410404,72.84836216428506,0.3926523656604713,0.07013855769432732,0.7976465146804859,0.4812486607379825,0.10832875327092459
qb,passing_yards,B:coldstart,185.52890173410404,71.251915087921,0.3840475226336309,0.06135230205083832,0.7881028101865059,0.5169242563888183,0.11022122369143804
qb,passing_yards,B2:coldstart_wide,185.52890173410404,71.39423122137184,0.38481460599433986,0.06448109175827134,0.8002349277682544,0.5167115182745303,0.11022122369143804
qb,passing_yards,D:blend a=0.75,185.52890173410404,71.60836548314633,0.38596878876464147,0.071410457995572,0.8476024415471692,0.5158571832919755,0.11807303033086235
qb,rushing_tds,current(prod),0.16040462427745664,0.25926501306824773,1.6163188202092562,-0.08543935923950717,1.5392242899733208,0.2252416134256622,-0.3737469312421913
qb,rushing_tds,raw_glm,0.16040462427745664,0.2521903874917019,1.5722139472455652,-0.08043403355028328,0.9780717609679964,0.2549096121312507,-0.2100432563263809
qb,rushing_tds,A:shrink->trail,0.16040462427745664,0.2809872562271488,1.7517403721548377,0.1875913075055631,0.6711268852805533,0.23795375481012973,0.20373261943127355
qb,rushing_tds,B:coldstart,0.16040462427745664,0.2652704344370956,1.6537580236979292,0.04149181978127743,0.8709093204152156,0.2542663361661437,-0.008888380937065676
qb,rushing_tds,B2:coldstart_wide,0.16040462427745664,0.2642750060181184,1.6475522897706119,0.03337510592392334,0.8907140985322834,0.2576261743230427,-0.028390981780481567
qb,rushing_tds,D:blend a=0.75,0.16040462427745664,0.27032011236024805,1.6852388986783033,0.08981950702091147,0.8309328488777425,0.2552690077755884,0.0622096212472778
qb,rushing_yards,current(prod),14.913294797687861,12.769619671744762,0.8562574431053658,-0.03812608985682951,1.1149160326325471,0.3836462301142161,-0.15663297191652187
qb,rushing_yards,raw_glm,14.913294797687861,11.952671441758323,0.8014775811721666,-0.03637530905642181,0.8023955356331215,0.4427172018274826,0.058388055800470164
qb,rushing_yards,A:shrink->trail,14.913294797687861,11.932022595775823,0.8000929880113246,0.014058851500690148,0.7796935632306883,0.45812834461729124,0.14096683996321302
qb,rushing_yards,B:coldstart,14.913294797687861,11.748606707191524,0.7877941706760208,-0.05377504014029121,0.7850377407521839,0.46427859049644804,0.0978832010275195
qb,rushing_yards,B2:coldstart_wide,14.913294797687861,11.825451515539655,0.7929469427086667,-0.038430223053312014,0.791965475001962,0.4604559224409464,0.0978832010275195
qb,rushing_yards,D:blend a=0.75,14.913294797687861,11.879462180392496,0.7965685880650782,-0.006286926856481937,0.80688133588623,0.46150078697732405,0.11763077364104423
rb,carries,current(prod),7.514545454545455,4.1321267289055585,0.5498837892325326,0.05982930911643674,1.1896554471232612,0.6862448264543607,-0.06099087504171624
rb,carries,raw_glm,7.514545454545455,3.66439761698265,0.4876406216647611,0.03536468898555132,0.8585399940031901,0.71745553050634,0.13237029976636075
rb,carries,A:shrink->trail,7.514545454545455,3.674566896132389,0.4889939010096332,0.053837569794093494,0.8978257559301509,0.7218870704849948,0.11390138919280317
rb,carries,B:coldstart,7.514545454545455,3.5670786433310457,0.47468987511059163,0.023268602453398363,0.8611810348082714,0.726942989923083,0.12783402191484122
rb,carries,B2:coldstart_wide,7.514545454545455,3.585737673738246,0.47717293020954155,0.029739485924807456,0.8677368830250034,0.7264149786933024,0.12783402191484122
rb,carries,D:blend a=0.75,7.514545454545455,3.626872999001127,0.48264702382061936,0.044182520584081654,0.8863698060625311,0.726591465459246,0.12556588298908145
rb,receiving_tds,current(prod),0.06424242424242424,0.11546035325933986,1.797260215829347,-0.0379302121950054,1.5099251895307335,0.19117868801676066,-0.0379302121950054
rb,receiving_tds,raw_glm,0.06424242424242424,0.11049756841131393,1.7200093196100754,-0.09562181861909178,1.2346527912958536,0.21228974299624814,-0.09562181861909178
rb,receiving_tds,A:shrink->trail,0.06424242424242424,0.1259759807063287,1.9609468694853054,0.17547942447540377,0.7304778557276922,0.16221780016730242,0.17547942447540377
rb,receiving_tds,B:coldstart,0.06424242424242424,0.1197239247112229,1.863627129938847,0.08009746175474057,0.9795748202259442,0.20420284964707874,0.08009746175474057
rb,receiving_tds,B2:coldstart_wide,0.06424242424242424,0.1181292758637296,1.8388047658033382,0.046769100147798,1.1042329443137655,0.21180788601663306,0.046769100147798
