alpha,c,k,clamp,nmae,tf_bias,tf_early,slope_err,obj
0.75,8,1.0,None-None,0.9546458178487367,0.1403398070326669,0.29145584199097335,0.19781181196665357,1.1354586906023902
0.5,2,2.0,None-None,0.9738054075890605,0.11281093864572442,0.2673631549892313,0.1457206036007216,1.1356897197451072
0.0,1,1.0,0.4-1.8,0.9763767943082035,0.12300416724832645,0.2608624374617602,0.17438105834435222,1.1375590548511652
0.5,1,1.0,0.25-2.5,0.9697117393890465,0.11865630190174971,0.27880856666124143,0.16909848341035605,1.1387800981951046
0.5,2,1.0,0.25-2.5,0.965140896549643,0.1219801623016432,0.2869011113772615,0.1790132865264664,1.1390864928136843
0.0,4,2.0,0.4-1.8,0.9746436971179062,0.1230307976800079,0.2683759131058253,0.172478305673178,1.139589353090821
0.5,4,2.0,0.25-2.5,0.9683437873333478,0.11748721118603128,0.283758653333481,0.16807881086421889,1.139594916796596
0.25,0,2.0,None-None,0.989043698932412,0.11559892176091956,0.24380282348628848,0.21625760733262644,1.139844841115786
0.5,2,2.0,0.25-2.5,0.9746389821461972,0.113857622952415,0.2738243073684633,0.1551201137479457,1.1400155415685327
0.5,4,4.0,None-None,0.9808548801792912,0.1036894203819977,0.26778180302798116,0.1407194605309916,1.1406681367887812
0.5,8,4.0,0.25-2.5,0.9715210194110433,0.11425715462646822,0.28165753547777633,0.15820211348512772,1.1409140758065486
0.0,8,4.0,0.4-1.8,0.9767136715176985,0.12379843128516338,0.26676102802485513,0.16638850393192514,1.1410437933514168
0.5,8,2.0,0.25-2.5,0.9628830656203372,0.12277082242930094,0.2949710548948653,0.18572424262475778,1.141061298675095
0.5,4,1.0,0.25-2.5,0.9611376475474599,0.12555095048249235,0.29710791220998184,0.19262541964538435,1.141079341273074
0.0,2,1.0,0.4-1.8,0.9727553488986537,0.12653822155079333,0.2738962896743566,0.1789964524477683,1.1413380491235303
0.5,1,2.0,None-None,0.9804280436676313,0.10842433573682535,0.2687099786725029,0.14694980139947214,1.1418891169380891
0.5,4,4.0,0.25-2.5,0.9801008536890972,0.11016571691868338,0.2705931356283156,0.14595791908736303,1.142938850732926
0.25,0,2.0,0.25-2.5,0.9878642402024365,0.10311996666322419,0.2591562044229361,0.17954766277256073,1.1432223340797105
0.5,8,1.0,0.25-2.5,0.958066161793883,0.1287577196035141,0.3062921747628875,0.20477199112238667,1.1434016790762052
0.0,2,2.0,0.4-1.8,0.9796373786303469,0.1230079191090777,0.2679506128182692,0.1669581780117908,1.1443646648167511
0.25,1,4.0,None-None,0.9920771844815107,0.1263250486849749,0.24141362776100816,0.2885207303055611,1.1443652605332584
0.5,1,2.0,0.25-2.5,0.9806404968092699,0.11231502259170041,0.27150471861447634,0.1493992074637455,1.1444716117644333
0.5,0,1.0,None-None,0.9815160318460229,0.11381082288659128,0.27078270463584003,0.15416369696417742,1.1453600898855907
0.75,4,1.0,None-None,0.9594030427735567,0.13646432733631486,0.30432068572928606,0.18581104564156495,1.1456794674722783
0.25,2,2.0,0.4-1.8,0.9806701293037393,0.12412235579844481,0.270210931271655,0.17012438362581114,1.146806183889178
0.25,1,4.0,0.25-2.5,0.9895428600656594,0.11650003322874752,0.25668903215634115,0.21075034907839044,1.1470123844510167
0.25,1,1.0,0.4-1.8,0.9773014856912133,0.12981288664421814,0.27700805003188606,0.1784360989367967,1.1482587323682107
1.0,8,1.0,None-None,0.9563684914550628,0.1431700896809012,0.31350126012450114,0.2022555148956551,1.1489116439375386
0.0,2,4.0,0.25-2.5,0.982299634322597,0.14330029079486503,0.26173868256893434,0.2971538129382125,1.1489940483057803
0.75,8,2.0,None-None,0.9625990261230043,0.1328099402638282,0.30748750419295756,0.17990030541694615,1.1495452632854402
0.5,0,1.0,0.25-2.5,0.9829739467433009,0.11493039901901815,0.2760629673975987,0.16404974480672954,1.1497380301968547
0.25,4,4.0,0.4-1.8,0.9846273181073741,0.12432847495412801,0.26823560352024695,0.16358255670236113,1.1498272386060295
0.0,8,2.0,0.4-1.8,0.9707207037623881,0.12749877516634944,0.29475578155976706,0.1841384528644485,1.1499732883338591
0.5,2,4.0,None-None,0.9901103499752065,0.0992409432266015,0.272773253943802,0.1452696606524463,1.151307212753758
0.25,8,4.0,0.4-1.8,0.9778975032598024,0.12457403396293806,0.2852710301428319,0.1693275616894929,1.1516765268219529
0.25,1,2.0,0.4-1.8,0.9854768298719343,0.12342068589902296,0.2710845065601371,0.16877517769558723,1.1518742546267586
0.5,2,4.0,0.25-2.5,0.9885124561541516,0.10860250534639514,0.2729820828858411,0.1356815602568299,1.152154123933671
0.25,4,2.0,0.4-1.8,0.9757204278655646,0.12860676971497284,0.28948865317150774,0.17530970261207218,1.1526164468800617
0.0,4,1.0,0.4-1.8,0.9698968488174938,0.13178518741717563,0.2997178603854136,0.19328105500275827,1.1527020758644946
0.75,8,1.0,0.25-2.5,0.9589971532524305,0.13533639820993598,0.32168452306417883,0.2078690249918649,1.1536735143370038
0.25,2,1.0,0.4-1.8,0.9736732942026888,0.13366035861278458,0.2965361520187349,0.18779886040513533,1.1553564598652524
0.0,4,4.0,0.4-1.8,0.9836039510593182,0.1382345297634955,0.27613420404458416,0.1780930219011171,1.1562296855224843
0.25,0,1.0,0.4-1.8,0.9884910790737415,0.12333749875886384,0.277076016767067,0.1831070096837496,1.157863462146991
0.75,4,1.0,0.25-2.5,0.9626269241059178,0.13501949749301145,0.32322089951524363,0.19773811585497897,1.1579922482367926
0.75,2,1.0,None-None,0.9651164889193017,0.13237350130835773,0.3216848044021324,0.1729342540180139,1.1590522664474574
0.0,1,2.0,0.4-1.8,0.9846567900346263,0.1287199127212684,0.2847334248637759,0.16787004065244107,1.1592034806468314
0.75,8,2.0,0.25-2.5,0.9648251882066906,0.13491787938140784,0.3238235486880351,0.1929073370842512,1.16046643239606
0.25,8,2.0,0.4-1.8,0.9716263520630722,0.1344995663455489,0.31413283151525995,0.19221971440472413,1.1623176594070894
0.5,0,2.0,None-None,0.9929261154334312,0.10178679485660648,0.289208566906043,0.15268960762680608,1.1629770976006044
1.0,8,1.0,0.25-2.5,0.960047511592183,0.1418793348955578,0.33722180300550597,0.21122918157116405,1.1641282468188254
0.25,4,1.0,0.4-1.8,0.9706560925253238,0.13885597221199283,0.3179597162278615,0.20119440436081942,1.1643499436922529
0.0,8,1.0,0.4-1.8,0.9682015950221213,0.1385753275505494,0.32359313959169606,0.20828468894844382,1.1646419967056068
0.25,2,4.0,0.4-1.8,0.9911897456095121,0.13138027376682435,0.28143781288330394,0.1721893036462622,1.1647537204928702
0.0,0,1.0,0.4-1.8,0.9879716580014246,0.1211293725360723,0.2939229233971048,0.18012158949144627,1.165215462833995
0.5,0,2.0,0.25-2.5,0.9924009163375641,0.11099544570970575,0.29013918450247905,0.15151568325148218,1.16521937001623
0.5,1,4.0,0.25-2.5,0.9951391256106568,0.10930574630566614,0.2856515102988466,0.13562718493346562,1.1652913173364967
0.75,2,1.0,0.25-2.5,0.9674368224192095,0.1346795815295317,0.3284021482360711,0.18620798472053976,1.165307791919628
0.5,1,4.0,None-None,0.997217206503926,0.1011612415222546,0.2856515102988466,0.15449234083402422,1.165333272033913
0.0,0,2.0,None-None,0.9880374478059768,0.1727760301935661,0.26830699723993345,0.29978657618272786,1.165384953974335
0.75,4,2.0,None-None,0.9705961852170848,0.12645134260572413,0.32981755921905603,0.16344571959221652,1.167117800478044
0.0,0,2.0,0.25-2.5,0.9868735696983945,0.12976604793233193,0.2979468837855649,0.22462546349336063,1.16828852357426
1.0,4,1.0,None-None,0.9619781472563471,0.1404775706978992,0.3427552461129066,0.19359279110145836,1.1684751629872752
0.0,1,4.0,None-None,0.9902650050001204,0.20170506400751423,0.2594458192953438,0.4953592417860312,1.1704141806496708
0.5,1,2.0,0.4-1.8,0.987767204048733,0.1346603579711124,0.2983859467481923,0.16898438526353493,1.1706252669156072
0.75,4,2.0,0.25-2.5,0.9715268052206064,0.1345504724118559,0.3318037815003366,0.17836366050837985,1.1710663140737387
0.5,2,2.0,0.4-1.8,0.9826488791048824,0.13687800595710573,0.30876259608042367,0.17493863417526853,1.1712496786343707
0.5,1,1.0,0.4-1.8,0.9788245300008609,0.14146878411310507,0.31510375016607844,0.18995911457095926,1.1717436011121762
0.25,0,4.0,0.25-2.5,0.9984050882504077,0.12720694963277113,0.28313129495351386,0.2293533964930263,1.1717724731353574
0.5,4,4.0,0.4-1.8,0.9869910755913047,0.13320455074902615,0.30430039577812895,0.16293017934849383,1.1724424111676257
0.25,8,1.0,0.4-1.8,0.9687925198758314,0.1451213555378778,0.3366991717277842,0.21351822497495557,1.173422444624193
0.5,4,2.0,0.4-1.8,0.977289540637554,0.14046669457853975,0.32302249382383447,0.18748482324819438,1.1739174611941061
0.25,0,4.0,None-None,1.0026325183147853,0.13723552399798608,0.27414843588242577,0.3258168730731511,1.1740156172554947
