stat,mkt,p_glm,p_fan
passing_tds,0.33499999999999996,0.3626396188740966,0.3968701255539562
rushing_yards,0.51,0.295960356566286,0.3944422440510922
rushing_yards,0.37,0.49414529831891574,0.5536827782999894
receiving_yards,0.445,0.10976250128672378,0.1749456467006049
receptions,0.675,0.3100722965670442,0.27722051117394836
rushing_yards,0.605,0.0,0.1485749946669629
rushing_yards,0.515,0.4173011930400389,0.5558009364259108
carries,0.495,0.27760595183633513,0.33967174301042297
receiving_yards,0.515,0.6008734426922306,0.423410424772379
receptions,0.5700000000000001,0.6385544642783552,0.4550101453537161
rushing_yards,0.545,0.09002754630006371,0.5331221841859692
receptions,0.575,0.44715837808997877,0.6906084247617129
rushing_yards,0.5449999999999999,0.6012720805614479,0.5687319991733216
receiving_yards,0.5700000000000001,0.7109805943217444,0.5585879535295151
receptions,0.505,0.40873944311568233,0.5133558703480875
rushing_yards,0.49,0.7440432581139824,0.5933306478494709
receptions,0.46499999999999997,0.4956649398888412,0.4700815320395468
rushing_yards,0.545,0.3859468351749802,0.49639769723844174
carries,0.54,0.44595869470957455,0.514901032944289
rushing_yards,0.565,0.36008915905877714,0.5316920427765396
carries,0.44,0.14408781990645958,0.43573545727171004
rushing_yards,0.54,0.46248658384594743,0.47215145624247556
carries,0.435,0.3517182559886875,0.3540292137786207
receiving_yards,0.52,0.3995318451457544,0.39213036513919236
receptions,0.52,0.2738441636483973,0.35480408314188433
rushing_yards,0.515,0.3462420901451808,0.6354258564992992
receptions,0.425,0.40236319320633956,0.32216800554142744
rushing_yards,0.49,0.1399272837718345,0.535471810459924
carries,0.445,0.04689112564902227,0.26144777938292973
receiving_yards,0.325,0.4389636386008322,0.5480389556826402
receptions,0.375,0.3492263700467461,0.5310705351429629
rushing_yards,0.495,0.34454524501854245,0.45162279433674724
rushing_yards,0.435,0.3522840855019823,0.4709142704967247
rushing_yards,0.515,0.43968693231500444,0.523461553190622
rushing_yards,0.505,0.3353798604589764,0.4294491032895448
carries,0.5700000000000001,0.39453638743986524,0.5006066395473558
receiving_yards,0.515,0.3872848067005126,0.3672521479194155
receptions,0.51,0.27180955089279407,0.38105651391761247
rushing_yards,0.51,0.5573273796242068,0.5936686842806962
carries,0.535,0.6085153143221154,0.43325690855549936
rushing_yards,0.475,0.5584716144682434,0.5792652343653444
carries,0.485,0.5411963801046281,0.6834538984857583
receiving_yards,0.33999999999999997,0.6914298206919769,0.574088792458006
receptions,0.6,0.7821339506878648,0.8079882181453835
rushing_yards,0.54,0.8976802829697339,0.6874639389174232
receiving_yards,0.345,0.42581716423407445,0.3849497245171367
receptions,0.425,0.28238631391292107,0.4309820930974058
rushing_yards,0.56,0.0,0.6614633992161291
rushing_yards,0.49,0.6480090776899634,0.6534912261586998
carries,0.495,0.6012791843338166,0.7701039749693797
