model,stat,rule,n,mae,bias,slope,corr,q5_bias
rb,receptions,D:blend a=0.75,1650,1.1341581696098677,0.1586181609717201,0.830849784066174,0.5546462252203591,0.31069810045550694
rb,rushing_tds,current(prod),1650,0.3613235050398269,0.007956496337167912,1.2896804752894344,0.30848611861715713,-0.023547829627953543
rb,rushing_tds,raw_glm,1650,0.3423421715790991,0.0005031564560445123,0.9571399778854788,0.3233383827180494,0.037603972736930724
rb,rushing_tds,trailing_only,1650,0.431217907227616,0.13284775914484656,0.4763629460512756,0.2308406764468382,0.4574235807860262
rb,rushing_tds,A:shrink->trailing,1650,0.3742881072919689,0.04739774236598762,0.7889811528117906,0.28953190042991733,0.1487490633739359
rb,rushing_tds,B:coldstart_style,1650,0.3566893225931607,0.022023814984314688,0.936379180551161,0.31818896684451975,0.07709973371389889
rb,rushing_tds,D:blend a=0.25,1650,0.4079898913945531,0.09976160847264606,0.6082244360199497,0.2600718461077476,0.2605954806937108
rb,rushing_tds,D:blend a=0.50,1650,0.38503959375311875,0.06667545780044551,0.760362325323826,0.2899226506924693,0.18459023367500765
rb,rushing_tds,D:blend a=0.75,1650,0.36322337329355914,0.03358930712824501,0.8971789390174592,0.31398877750957166,0.10248668190180987
rb,rushing_yards,current(prod),1650,22.25299424298788,1.1869509981196131,1.3090675136919034,0.593527419440972,-7.29563462864207
rb,rushing_yards,raw_glm,1650,20.225538639861256,0.2460539705211957,0.9442377093028305,0.6150578651461345,3.4299762250638395
rb,rushing_yards,trailing_only,1650,21.691471020888496,3.113135235853683,0.7681018558144665,0.5893878265507433,12.876778455284537
rb,rushing_yards,A:shrink->trailing,1650,20.680006282154633,1.3852734345479618,0.9139423812020587,0.6089814893000705,5.499752980749278
rb,rushing_yards,B:coldstart_style,1650,19.90368098606912,-0.04468709097057655,0.9131395961126614,0.6218157625487923,4.8066581409030675
rb,rushing_yards,D:blend a=0.25,1650,21.03522115009349,2.3963649195205576,0.8384283963837097,0.6069299265541639,9.158006465395204
rb,rushing_yards,D:blend a=0.50,1650,20.577259270427916,1.6795946031874394,0.8977673011927465,0.6187480526933635,7.179114526216793
rb,rushing_yards,D:blend a=0.75,1650,20.288078946870062,0.9628242868543211,0.9361071219280547,0.6221887886196299,4.710509584593225
rb,targets,current(prod),1650,1.4479609996060114,0.30670376504282326,0.9948739140123388,0.5316759232710565,-0.13500431720056216
rb,targets,raw_glm,1650,1.315876227727817,0.1893752733935734,0.7877882400190425,0.5782599351166988,0.37132547083743406
rb,targets,trailing_only,1650,1.4404217318819263,0.28533980582524276,0.7453176290232193,0.5344359283309806,0.751173708920188
rb,targets,A:shrink->trailing,1650,1.3628956674726755,0.24567201958007945,0.7900403025480961,0.5655904398771289,0.5252850297507821
rb,targets,B:coldstart_style,1650,1.313111460169736,0.1655211030055248,0.7938831886309593,0.5820017299330392,0.4027939292729892
rb,targets,D:blend a=0.25,1650,1.3967382903048595,0.26134867271732554,0.7956760613131018,0.5595742148062501,0.5978080773076662
rb,targets,D:blend a=0.50,1650,1.358376290099982,0.2373575396094083,0.8205420415511887,0.5756459872297135,0.513653304351473
rb,targets,D:blend a=0.75,1650,1.3286892448333543,0.21336640650149064,0.8170243649416915,0.5816965867273105,0.4344512198742607
wr_te,carries,current(prod),3979,0.22862237695134868,-0.005181794246520793,2.932964222382358,0.2809319063742017,-0.16350734725375718
wr_te,carries,raw_glm,3979,0.2196135652361067,-0.00880058619643831,1.4922150515728902,0.31028592146901257,-0.15161056716137597
wr_te,carries,trailing_only,3979,0.26654037777644213,0.1063395644007358,0.709969598428281,0.48231850853178343,0.28754385964912277
wr_te,carries,A:shrink->trailing,3979,0.23333998795853436,0.030410058093316816,1.0433092482276256,0.3953640198104166,-0.0850756892038832
wr_te,carries,B:coldstart_style,3979,0.22506053759407849,0.016128271682346318,1.5045296958754422,0.4527597480668593,-0.1196576167547806
wr_te,carries,D:blend a=0.25,3979,0.2513944749124049,0.07755452675144225,0.874462355999068,0.4785416288243882,0.06400041722409455
wr_te,carries,D:blend a=0.50,3979,0.23863016149437435,0.048769489102148705,1.1157779524485876,0.46775499118952146,-0.04624478273292948
wr_te,carries,D:blend a=0.75,3979,0.22858750367471387,0.019984451452855212,1.4425098784770134,0.4335519111319489,-0.12231757374531277
wr_te,receiving_tds,current(prod),3979,0.3052201463332149,0.017428773560291183,1.2348573384431345,0.24637255278123535,-0.05267586858509993
wr_te,receiving_tds,raw_glm,3979,0.2939500992140171,0.012459732359682701,0.8914462043762906,0.2557604460162355,0.02101869600217332
wr_te,receiving_tds,trailing_only,3979,0.362154250771358,0.11490368592252584,0.41405705170051565,0.1826292537002838,0.47716894977168955
wr_te,receiving_tds,A:shrink->trailing,3979,0.3205251354733955,0.049805288382701596,0.7364465975014969,0.22550091139231235,0.07178122749497984
wr_te,receiving_tds,B:coldstart_style,3979,0.30525403957539116,0.02884045912168759,0.9133423035971221,0.25713950823614085,0.025658384718763694
wr_te,receiving_tds,D:blend a=0.25,3979,0.344497520076478,0.08929269753181499,0.5589297620039412,0.20981165384579192,0.2286872608362388
wr_te,receiving_tds,D:blend a=0.50,3979,0.3272700075766304,0.06368170914110421,0.7377312026221524,0.2382858075753076,0.12320539040433398
wr_te,receiving_tds,D:blend a=0.75,3979,0.31056132810611686,0.038070720750393444,0.8865126345868757,0.2581497669634384,0.049294242225915885
wr_te,receiving_yards,current(prod),3979,21.263159126522194,4.167811990933778,0.9439550945163617,0.5111067537665832,1.6886908781249943
wr_te,receiving_yards,raw_glm,3979,20.0861456007419,3.6619780794939203,0.6892816868440536,0.5450916036852514,14.745362315932276
wr_te,receiving_yards,trailing_only,3979,20.951358178354916,3.2621570047540125,0.7170522149024381,0.5242127521303515,11.471060414026205
wr_te,receiving_yards,A:shrink->trailing,3979,20.22476199269763,3.553075721897997,0.7413424105202494,0.5485091898135903,11.512120292156311
wr_te,receiving_yards,B:coldstart_style,3979,19.899534571641304,3.0469204926937046,0.7129467426913367,0.5531871350648684,12.968175102436497
wr_te,receiving_yards,D:blend a=0.25,3979,20.457726948804268,3.362112273438985,0.7558816569836987,0.5465512533020775,11.466710874973451
wr_te,receiving_yards,D:blend a=0.50,3979,20.147503488620465,3.462067542123961,0.7623123403142413,0.5571131033696554,11.113381859945285
