stat,mkt,mult,p_base,p_ctx
receptions,0.575,1.0251132542929482,0.28774361899853484,0.28774361899853484
rushing_yards,0.46499999999999997,0.9672560689080034,0.41155760734193125,0.39042917971176705
receiving_yards,0.505,0.9010785200870759,0.3616984944631494,0.2760712819383295
receptions,0.475,0.9010785200870759,0.216,0.167
receiving_yards,0.505,1.109252168923066,0.43097638516782866,0.4733334957840837
receiving_yards,0.515,1.2032328109924217,0.43325129154728426,0.4894950179995452
carries,0.39,1.0,0.242319502558966,0.242319502558966
receiving_yards,0.525,1.1602347495290437,0.4931109903116584,0.5810267564259881
receptions,0.415,1.1602347495290437,0.4341388859951497,0.5797256118991065
rushing_yards,0.455,1.0465715688775286,0.20835762644204603,0.23193772771040067
receiving_yards,0.395,1.0662296991229483,0.3379120296293444,0.3760219597567087
receptions,0.45999999999999996,1.0662296991229483,0.378,0.378
attempts,0.5349999999999999,1.0,0.5360661659129211,0.5360661659129211
completions,0.5449999999999999,1.0,0.510469696240595,0.510469696240595
passing_tds,0.43,0.9635866953819894,0.3637499429466856,0.3637499429466856
passing_yards,0.48,0.9635866953819894,0.388,0.346
passing_tds,0.47,1.054269708327543,0.37093377395689514,0.37093377395689514
passing_yards,0.435,1.054269708327543,0.477,0.521
receiving_yards,0.51,1.2032328109924217,0.4010449556401491,0.4877079367778645
carries,0.495,1.0,0.44595869470957455,0.44595869470957455
rushing_yards,0.49,1.0387134642501223,0.3859468351749802,0.4092052108008921
rushing_yards,0.355,1.0465715688775286,0.0,0.0
receiving_yards,0.52,1.2032328109924217,0.6417921084297793,0.7461866258166776
receptions,0.53,1.2032328109924217,0.445,0.592
receiving_yards,0.47,1.2032328109924217,0.6104396812360408,0.7178046654672811
receptions,0.53,1.2032328109924217,0.401,0.527
attempts,0.49,1.0,0.402977942653507,0.402977942653507
completions,0.505,1.0,0.4387037443772568,0.4387037443772568
passing_tds,0.445,1.0320915331193004,0.35877700878864643,0.35877700878864643
passing_yards,0.48,1.0320915331193004,0.4,0.424
rushing_yards,0.565,1.2032328109924217,0.319922311510038,0.4578410733945766
receiving_yards,0.51,0.8757616083311158,0.3829468970424531,0.29093035645098464
receptions,0.605,0.8757616083311158,0.383,0.383
receiving_yards,0.565,1.2032328109924217,0.6451234947909144,0.8070132615757555
receptions,0.485,1.2032328109924217,0.174,0.298
rushing_yards,0.495,0.9449149203535493,0.34454524501854245,0.307787669247804
carries,0.45999999999999996,1.0,0.04689112564902227,0.04689112564902227
receiving_yards,0.34,1.1210507222370167,0.4389636386008322,0.5091027937111199
receptions,0.375,1.1210507222370167,0.3492263700467461,0.3492263700467461
rushing_yards,0.49,1.1601488767855497,0.1399272837718345,0.20770050362604886
receiving_yards,0.51,0.8964358919158296,0.29483386444535875,0.2315527620889356
receptions,0.5900000000000001,0.8964358919158296,0.189,0.189
attempts,0.515,1.0,0.4819627799587154,0.4819627799587154
completions,0.495,1.0,0.37574075469524965,0.37574075469524965
passing_tds,0.44,1.0878399649802815,0.3235545457367442,0.3235545457367442
passing_yards,0.515,1.0878399649802815,0.353,0.43
rushing_yards,0.545,1.1485822980502465,0.6633879933014403,0.7359412003596906
rushing_yards,0.445,1.016002891800518,1.0,1.0
receiving_yards,0.5800000000000001,1.000820310819984,0.5004029060329122,0.5008521639624515
receptions,0.475,1.000820310819984,0.226,0.226
receiving_yards,0.5800000000000001,0.8757616083311158,0.6344625539086434,0.5779813313533612
receptions,0.53,0.8757616083311158,0.406,0.406
receiving_yards,0.43,1.0458069537337122,0.3097694381593006,0.33606032525728247
receiving_yards,0.495,1.2032328109924217,0.5223488005852834,0.6345474984298931
receptions,0.395,1.2032328109924217,0.454,0.701
attempts,0.515,1.0,0.3481280075553755,0.3481280075553755
completions,0.51,1.0,0.3247418516385225,0.3247418516385225
passing_tds,0.4,1.1112032497418223,0.3239688858701844,0.3239688858701844
passing_yards,0.47,1.1112032497418223,0.197,0.295
rushing_yards,0.45999999999999996,1.0248962012181857,0.05818653423522608,0.064801000351288
attempts,0.525,1.0,0.6267340104340134,0.6267340104340134
completions,0.485,1.0,0.5875363470135397,0.5875363470135397
passing_tds,0.54,0.8757616083311158,0.5017940249870313,0.5017940249870313
passing_yards,0.535,0.8757616083311158,0.58,0.44
rushing_yards,0.47,0.9210201940699163,0.3401598110589039,0.2865889062869903
receiving_yards,0.5,0.904948085381086,0.3407953911192093,0.28150315591412967
receptions,0.535,0.904948085381086,0.39,0.39
carries,0.525,1.0,0.7258385163425204,0.7258385163425204
receiving_yards,0.525,0.8940604085559338,0.29188725741212124,0.2288367892267002
receptions,0.585,0.8940604085559338,0.29987188226977357,0.29987188226977357
rushing_yards,0.525,0.8757616083311158,0.5903459771285287,0.5292903102298304
receiving_yards,0.48,1.0520760398676094,0.29816932170199284,0.33275801371280034
receptions,0.475,1.0520760398676094,0.134,0.175
receiving_yards,0.46499999999999997,1.0815704184154726,0.4970022656075831,0.5335059819288498
receptions,0.44,1.0815704184154726,0.564,0.647
receiving_yards,0.5,0.8892787307360561,0.379529508337893,0.3055509274179984
receiving_yards,0.51,0.9079175263898556,0.19431922382098166,0.15295965656263966
receptions,0.56,0.9079175263898556,0.168,0.115
receptions,0.4,0.9303360540229946,0.201,0.201
